"province","health_sector","vaccination_date","total_number_vaccines_administered"
"KwaZulu-Natal","Private Health","2021-12-04",106
"North West","Public Health","2021-07-07",422
"Gauteng","Private Health","2021-02-27",334
"KwaZulu-Natal","Public Health","2021-11-14",3199
"KwaZulu-Natal","Private Health","2021-08-13",336
"Eastern Cape","Public Health","2021-09-29",4241
"Limpopo","Public Health","2021-09-25",785
"North West","Public Health","2021-11-19",2445
"Northern Cape","Private Health","2021-10-16",213
"Gauteng","Public Health","2021-06-19",2
"Free State","Private Health","2021-12-14",194
"KwaZulu-Natal","Public Health","2021-06-25",15682
"Limpopo","Public Health","2021-10-01",13028
"Mpumalanga","Public Health","2021-12-05",1264
"Gauteng","Public Health","2021-04-21",2
"KwaZulu-Natal","Private Health","2021-11-06",28
"North West","Public Health","2021-11-03",3374
"Gauteng","Public Health","2021-11-14",5332
"Limpopo","Private Health","2021-11-10",631
"Mpumalanga","Private Health","2021-04-08",112
"Gauteng","Private Health","2021-08-24",4142
"Free State","Public Health","2021-10-26",3897
"Western Cape","Public Health","2021-09-08",4134
"KwaZulu-Natal","Private Health","2021-11-21",4
"Mpumalanga","Private Health","2021-10-27",403
"Gauteng","Public Health","2021-05-12",3168
"Limpopo","Public Health","2021-08-20",7055
"Limpopo","Public Health","2021-03-18",200
"Gauteng","Private Health","2021-06-16",2
"Western Cape","Public Health","2021-07-05",3837
"Eastern Cape","Public Health","2021-08-25",7160
"Northern Cape","Public Health","2021-02-23",294
"Northern Cape","Public Health","2021-06-27",80
"Limpopo","Public Health","2021-03-07",141
"Eastern Cape","Public Health","2021-08-17",4883
"Eastern Cape","Public Health","2021-09-21",4389
"Gauteng","Public Health","2021-09-14",5255
"Northern Cape","Public Health","2021-08-29",607
"Mpumalanga","Private Health","2021-08-25",1285
"Northern Cape","Private Health","2021-10-27",248
"North West","Public Health","2021-10-06",6468
"KwaZulu-Natal","Private Health","2021-11-08",75
"Gauteng","Private Health","2021-12-06",1330
"Eastern Cape","Public Health","2021-12-08",2615
"North West","Private Health","2021-03-03",102
"Western Cape","Private Health","2021-11-18",271
"North West","Public Health","2021-09-29",5108
"Gauteng","Private Health","2021-08-20",3895
"Free State","Private Health","2021-12-02",239
"Mpumalanga","Public Health","2021-02-20",873
"Eastern Cape","Public Health","2021-10-14",6751
"Limpopo","Public Health","2021-05-10",463
"North West","Public Health","2021-05-03",720
"Northern Cape","Private Health","2021-11-20",138
"Free State","Public Health","2021-05-14",602
"Western Cape","Public Health","2021-06-04",28
"Western Cape","Public Health","2021-10-03",1000
"Free State","Private Health","2021-09-28",260
"North West","Public Health","2021-05-04",899
"Northern Cape","Private Health","2021-03-04",7
"Gauteng","Public Health","2021-06-01",230
"Western Cape","Public Health","2021-12-15",1660
"Gauteng","Private Health","2021-11-09",1325
"Eastern Cape","Public Health","2021-03-17",780
"Mpumalanga","Public Health","2021-08-23",3252
"Western Cape","Public Health","2021-09-07",4832
"Mpumalanga","Public Health","2021-06-24",7328
"Gauteng","Private Health","2021-05-01",1
"Limpopo","Public Health","2021-08-25",10282
"Limpopo","Public Health","2021-11-24",3084
"Eastern Cape","Public Health","2021-10-27",6250
"Eastern Cape","Public Health","2021-08-18",4726
"Mpumalanga","Public Health","2021-06-10",2
"Eastern Cape","Private Health","2021-07-22",377
"Northern Cape","Private Health","2021-11-03",346
"Western Cape","Private Health","2021-03-23",630
"Northern Cape","Public Health","2021-07-31",1347
"Mpumalanga","Private Health","2021-08-28",184
"Limpopo","Private Health","2021-11-18",546
"Free State","Private Health","2021-10-25",366
"Western Cape","Public Health","2021-10-27",4745
"Northern Cape","Private Health","2021-03-09",71
"Mpumalanga","Private Health","2021-10-01",742
"Limpopo","Private Health","2021-07-27",732
"Gauteng","Public Health","2021-03-14",1
"North West","Public Health","2021-06-30",2272
"Eastern Cape","Private Health","2021-03-24",278
"Eastern Cape","Public Health","2021-11-07",581
"Western Cape","Public Health","2021-10-29",3579
"Western Cape","Private Health","2021-12-13",405
"Mpumalanga","Public Health","2021-10-17",239
"Gauteng","Public Health","2021-07-02",4265
"Gauteng","Private Health","2021-07-25",35
"North West","Private Health","2021-08-03",195
"Eastern Cape","Private Health","2021-09-28",237
"North West","Public Health","2021-08-11",1743
"Western Cape","Public Health","2021-05-05",1916
"KwaZulu-Natal","Private Health","2021-07-06",13
"Western Cape","Public Health","2021-03-23",1665
"Mpumalanga","Private Health","2021-07-16",427
"Northern Cape","Private Health","2021-03-03",33
"Mpumalanga","Public Health","2021-08-22",236
"Western Cape","Public Health","2021-05-10",2217
"KwaZulu-Natal","Private Health","2021-03-26",598
"Northern Cape","Public Health","2021-08-09",1090
"Free State","Public Health","2021-04-13",122
"Gauteng","Private Health","2021-12-04",422
"Gauteng","Private Health","2021-07-07",1995
"North West","Private Health","2021-03-02",50
"Limpopo","Private Health","2021-08-08",17
"Gauteng","Public Health","2021-06-23",7954
"Free State","Public Health","2021-08-21",281
"Northern Cape","Public Health","2021-04-09",109
"KwaZulu-Natal","Public Health","2021-10-13",6055
"Mpumalanga","Private Health","2021-08-19",387
"Eastern Cape","Public Health","2021-12-05",580
"North West","Public Health","2021-07-09",570
"Mpumalanga","Public Health","2021-03-15",39
"Free State","Private Health","2021-03-10",88
"Gauteng","Public Health","2021-07-22",4358
"Gauteng","Private Health","2021-08-26",3725
"KwaZulu-Natal","Public Health","2021-07-21",7125
"Mpumalanga","Public Health","2021-11-22",2546
"Eastern Cape","Private Health","2021-07-05",1
"KwaZulu-Natal","Private Health","2021-10-28",241
"Mpumalanga","Public Health","2021-03-02",242
"Gauteng","Public Health","2021-11-15",3654
"Gauteng","Public Health","2021-06-29",8675
"Western Cape","Public Health","2021-11-07",56
"North West","Private Health","2021-10-20",425
"Western Cape","Public Health","2021-11-26",2097
"North West","Private Health","2021-10-21",534
"Free State","Public Health","2021-11-25",2215
"KwaZulu-Natal","Private Health","2021-02-26",515
"Gauteng","Private Health","2021-05-19",0
"Limpopo","Private Health","2021-12-01",928
"Limpopo","Private Health","2021-08-10",317
"Western Cape","Public Health","2021-03-05",601
"Eastern Cape","Private Health","2021-08-18",781
"Eastern Cape","Public Health","2021-09-13",2376
"Eastern Cape","Private Health","2021-07-27",2007
"KwaZulu-Natal","Private Health","2021-07-19",3
"Gauteng","Private Health","2021-10-13",3368
"Gauteng","Private Health","2021-04-24",1
"Western Cape","Private Health","2021-10-15",990
"Gauteng","Public Health","2021-08-18",7261
"Northern Cape","Private Health","2021-08-11",28
"KwaZulu-Natal","Private Health","2021-07-01",8
"North West","Private Health","2021-12-02",271
"Limpopo","Private Health","2021-07-01",5
"Western Cape","Public Health","2021-08-28",1401
"Western Cape","Private Health","2021-02-27",364
"Limpopo","Public Health","2021-06-09",6
"Mpumalanga","Private Health","2021-06-25",7
"KwaZulu-Natal","Private Health","2021-10-02",174
"Northern Cape","Public Health","2021-10-07",988
"Limpopo","Private Health","2021-12-02",871
"Gauteng","Public Health","2021-10-25",3087
"KwaZulu-Natal","Private Health","2021-06-24",2
"Western Cape","Private Health","2021-12-10",632
"Western Cape","Public Health","2021-10-02",2206
"Free State","Public Health","2021-04-29",564
"Free State","Public Health","2021-06-19",10
"Free State","Private Health","2021-12-11",3
"North West","Public Health","2021-10-11",6045
"Gauteng","Public Health","2021-03-21",13
"KwaZulu-Natal","Private Health","2021-08-03",302
"Limpopo","Public Health","2021-08-29",4
"Free State","Public Health","2021-04-09",249
"Gauteng","Private Health","2021-08-11",2284
"Eastern Cape","Private Health","2021-10-26",342
"Eastern Cape","Public Health","2021-11-21",397
"Northern Cape","Private Health","2021-03-02",18
"North West","Private Health","2021-07-23",216
"Free State","Public Health","2021-03-23",455
"Northern Cape","Private Health","2021-12-09",163
"Free State","Public Health","2021-03-11",322
"Northern Cape","Public Health","2021-08-01",737
"Western Cape","Private Health","2021-08-05",213
"Limpopo","Public Health","2021-08-26",9185
"Limpopo","Private Health","2021-08-28",287
"Free State","Public Health","2021-07-05",290
"Northern Cape","Public Health","2021-06-28",745
"KwaZulu-Natal","Private Health","2021-07-09",4
"Free State","Public Health","2021-02-19",287
"Gauteng","Private Health","2021-10-31",78
"Northern Cape","Public Health","2021-09-12",378
"Free State","Private Health","2021-11-15",153
"Eastern Cape","Public Health","2021-03-10",599
"Limpopo","Public Health","2021-06-10",2
"Mpumalanga","Private Health","2021-09-24",21
"Mpumalanga","Private Health","2021-10-29",440
"Western Cape","Public Health","2021-02-25",1687
"Eastern Cape","Public Health","2021-09-27",3678
"Gauteng","Public Health","2021-06-28",8739
"North West","Public Health","2021-09-11",3398
"North West","Private Health","2021-08-26",668
"Western Cape","Public Health","2021-10-25",2931
"Mpumalanga","Public Health","2021-05-14",396
"Limpopo","Public Health","2021-08-12",8918
"Free State","Private Health","2021-08-16",110
"Western Cape","Public Health","2021-05-17",70
"Mpumalanga","Private Health","2021-10-13",693
"Mpumalanga","Public Health","2021-11-30",4678
"Western Cape","Public Health","2021-09-26",0
"Free State","Public Health","2021-06-18",2
"North West","Private Health","2021-09-08",585
"Eastern Cape","Private Health","2021-12-11",111
"Free State","Private Health","2021-11-06",15
"Western Cape","Private Health","2021-12-07",439
"Mpumalanga","Private Health","2021-11-05",406
"Eastern Cape","Private Health","2021-10-29",215
"Gauteng","Private Health","2021-03-17",1211
"Limpopo","Private Health","2021-11-26",411
"Northern Cape","Public Health","2021-08-16",861
"Northern Cape","Private Health","2021-12-07",150
"Northern Cape","Public Health","2021-02-21",251
"Limpopo","Public Health","2021-02-22",859
"Mpumalanga","Public Health","2021-10-10",171
"Northern Cape","Public Health","2021-10-27",1373
"KwaZulu-Natal","Public Health","2021-10-10",2366
"Gauteng","Private Health","2021-02-26",1313
"Gauteng","Private Health","2021-11-10",1279
"Western Cape","Private Health","2021-10-05",651
"Eastern Cape","Private Health","2021-07-01",1
"KwaZulu-Natal","Public Health","2021-09-30",4846
"Mpumalanga","Private Health","2021-12-09",309
"Limpopo","Public Health","2021-11-13",1364
"Western Cape","Private Health","2021-07-20",544
"Eastern Cape","Private Health","2021-11-16",315
"Gauteng","Public Health","2021-07-29",16104
"Eastern Cape","Private Health","2021-06-30",9
"Limpopo","Public Health","2021-10-18",8693
"KwaZulu-Natal","Public Health","2021-07-03",76
"Gauteng","Private Health","2021-09-24",363
"North West","Private Health","2021-08-24",1001
"Limpopo","Public Health","2021-09-14",5690
"Northern Cape","Public Health","2021-07-20",1029
"Limpopo","Public Health","2021-03-01",41
"Northern Cape","Public Health","2021-06-21",1
"Eastern Cape","Public Health","2021-09-30",3124
"Mpumalanga","Private Health","2021-10-18",630
"North West","Private Health","2021-11-04",193
"Free State","Public Health","2021-07-22",1206
"Eastern Cape","Private Health","2021-03-12",99
"Limpopo","Public Health","2021-12-04",3168
"Northern Cape","Public Health","2021-08-06",2131
"North West","Public Health","2021-07-26",2774
"Eastern Cape","Private Health","2021-12-05",19
"Mpumalanga","Private Health","2021-09-21",716
"KwaZulu-Natal","Public Health","2021-07-06",4865
"Mpumalanga","Private Health","2021-09-14",1227
"Free State","Private Health","2021-08-30",318
"Limpopo","Public Health","2021-03-23",795
"Northern Cape","Public Health","2021-10-10",43
"Limpopo","Public Health","2021-07-12",147
"Limpopo","Public Health","2021-03-17",768
"Eastern Cape","Public Health","2021-04-28",432
"KwaZulu-Natal","Private Health","2021-10-18",264
"Northern Cape","Public Health","2021-08-05",2669
"Free State","Public Health","2021-10-08",4306
"North West","Public Health","2021-07-27",2517
"KwaZulu-Natal","Public Health","2021-07-13",38
"North West","Public Health","2021-08-13",1982
"Free State","Public Health","2021-02-17",12
"Limpopo","Public Health","2021-08-22",414
"Gauteng","Private Health","2021-05-06",2679
"Mpumalanga","Public Health","2021-12-08",3510
"North West","Private Health","2021-08-20",613
"Mpumalanga","Private Health","2021-03-05",160
"Northern Cape","Public Health","2021-02-25",281
"Eastern Cape","Private Health","2021-09-08",1035
"North West","Private Health","2021-09-12",4
"Eastern Cape","Private Health","2021-10-16",105
"North West","Private Health","2021-03-04",210
"Limpopo","Private Health","2021-09-23",1603
"Mpumalanga","Public Health","2021-09-06",4550
"Free State","Private Health","2021-10-21",425
"Gauteng","Public Health","2021-08-24",7062
"Mpumalanga","Public Health","2021-11-02",4295
"KwaZulu-Natal","Private Health","2021-09-10",922
"Mpumalanga","Private Health","2021-04-29",53
"KwaZulu-Natal","Private Health","2021-11-24",132
"Free State","Public Health","2021-05-25",1
"North West","Public Health","2021-08-25",4160
"Western Cape","Private Health","2021-07-02",472
"Limpopo","Private Health","2021-09-29",1201
"Free State","Public Health","2021-03-19",631
"Western Cape","Public Health","2021-04-18",1
"North West","Public Health","2021-09-26",401
"Free State","Public Health","2021-05-11",535
"Western Cape","Public Health","2021-11-13",2454
"Gauteng","Private Health","2021-08-05",1434
"Limpopo","Public Health","2021-04-26",1
"Mpumalanga","Public Health","2021-09-16",7328
"Free State","Public Health","2021-06-21",30
"Western Cape","Public Health","2021-06-23",57
"Eastern Cape","Private Health","2021-12-08",539
"Mpumalanga","Private Health","2021-11-01",42
"Gauteng","Public Health","2021-10-09",2350
"Gauteng","Public Health","2021-11-06",2184
"Limpopo","Public Health","2021-06-07",1
"Mpumalanga","Public Health","2021-09-23",6171
"Northern Cape","Public Health","2021-08-03",2959
"Eastern Cape","Private Health","2021-11-03",295
"Western Cape","Public Health","2021-12-11",621
"Northern Cape","Public Health","2021-07-17",179
"Limpopo","Public Health","2021-10-03",97
"Western Cape","Private Health","2021-07-13",414
"Gauteng","Private Health","2021-12-15",998
"Mpumalanga","Private Health","2021-03-16",271
"Northern Cape","Private Health","2021-06-23",35
"Gauteng","Private Health","2021-05-07",2406
"Western Cape","Private Health","2021-03-20",1
"Mpumalanga","Public Health","2021-05-12",492
"KwaZulu-Natal","Public Health","2021-06-30",10193
"Mpumalanga","Public Health","2021-06-18",7
"Northern Cape","Private Health","2021-10-18",187
"Northern Cape","Private Health","2021-12-05",17
"Eastern Cape","Private Health","2021-08-16",859
"Mpumalanga","Public Health","2021-03-31",583
"KwaZulu-Natal","Private Health","2021-08-01",5
"Limpopo","Public Health","2021-07-28",9440
"Gauteng","Public Health","2021-05-05",1656
"Northern Cape","Public Health","2021-03-01",256
"Western Cape","Public Health","2021-10-10",33
"Northern Cape","Public Health","2021-07-27",2963
"Gauteng","Private Health","2021-08-30",3768
"Eastern Cape","Public Health","2021-05-21",126
"Limpopo","Public Health","2021-08-10",7502
"Western Cape","Private Health","2021-08-23",1757
"Limpopo","Public Health","2021-08-18",8902
"Gauteng","Private Health","2021-07-17",457
"Mpumalanga","Public Health","2021-05-16",122
"Western Cape","Private Health","2021-05-06",732
"Free State","Private Health","2021-08-20",290
"Limpopo","Private Health","2021-10-19",1361
"Western Cape","Private Health","2021-05-10",754
"KwaZulu-Natal","Public Health","2021-10-26",5841
"Gauteng","Private Health","2021-02-18",14
"North West","Private Health","2021-10-18",357
"North West","Private Health","2021-03-10",158
"Gauteng","Public Health","2021-08-27",6887
"North West","Private Health","2021-10-10",1
"Eastern Cape","Public Health","2021-10-16",2348
"Northern Cape","Public Health","2021-12-09",1276
"Mpumalanga","Private Health","2021-02-22",1
"Limpopo","Private Health","2021-09-27",1229
"North West","Public Health","2021-10-04",4661
"Free State","Public Health","2021-08-05",2801
"Gauteng","Public Health","2021-08-20",9096
"Mpumalanga","Private Health","2021-11-30",397
"Eastern Cape","Private Health","2021-08-30",1203
"Northern Cape","Private Health","2021-07-06",40
"KwaZulu-Natal","Public Health","2021-09-26",771
"KwaZulu-Natal","Public Health","2021-03-01",702
"Gauteng","Private Health","2021-03-21",11
"Eastern Cape","Public Health","2021-08-31",6278
"Eastern Cape","Public Health","2021-08-21",1292
"Northern Cape","Private Health","2021-07-16",665
"KwaZulu-Natal","Public Health","2021-03-10",1707
"Eastern Cape","Public Health","2021-10-05",6100
"Free State","Public Health","2021-11-17",3184
"Gauteng","Public Health","2021-03-24",1641
"KwaZulu-Natal","Public Health","2021-05-04",1709
"Northern Cape","Public Health","2021-07-01",918
"Western Cape","Public Health","2021-07-12",857
"Mpumalanga","Private Health","2021-10-07",565
"Free State","Public Health","2021-03-12",364
"Eastern Cape","Private Health","2021-11-24",373
"Gauteng","Private Health","2021-07-10",465
"Mpumalanga","Private Health","2021-10-10",11
"Northern Cape","Public Health","2021-02-19",294
"Mpumalanga","Public Health","2021-03-01",271
"Mpumalanga","Public Health","2021-11-18",3637
"North West","Private Health","2021-11-15",203
"North West","Public Health","2021-07-25",1045
"Northern Cape","Public Health","2021-08-21",721
"Gauteng","Public Health","2021-05-13",2453
"Western Cape","Public Health","2021-05-07",2217
"Limpopo","Private Health","2021-11-03",447
"Gauteng","Public Health","2021-10-23",2958
"Free State","Private Health","2021-10-19",403
"Northern Cape","Public Health","2021-09-09",1062
"Limpopo","Private Health","2021-06-18",1
"Gauteng","Private Health","2021-12-05",194
"Eastern Cape","Public Health","2021-09-05",792
"Northern Cape","Private Health","2021-07-27",169
"Eastern Cape","Private Health","2021-11-29",657
"Gauteng","Private Health","2021-04-21",5
"Northern Cape","Public Health","2021-08-02",2555
"Western Cape","Private Health","2021-12-04",175
"KwaZulu-Natal","Public Health","2021-11-25",3538
"Northern Cape","Public Health","2021-04-12",115
"Limpopo","Private Health","2021-10-13",1119
"Northern Cape","Private Health","2021-03-18",84
"Western Cape","Private Health","2021-05-05",564
"Gauteng","Public Health","2021-08-22",1072
"Eastern Cape","Private Health","2021-08-03",388
"Mpumalanga","Public Health","2021-06-09",3
"North West","Private Health","2021-10-09",43
"Limpopo","Private Health","2021-09-11",246
"Western Cape","Public Health","2021-06-09",11
"Limpopo","Public Health","2021-10-10",16
"Western Cape","Public Health","2021-09-19",676
"Western Cape","Private Health","2021-06-25",14
"Gauteng","Private Health","2021-04-28",1
"North West","Public Health","2021-10-21",5683
"Mpumalanga","Public Health","2021-02-26",132
"Free State","Public Health","2021-11-12",3184
"Mpumalanga","Private Health","2021-06-24",2
"Western Cape","Private Health","2021-03-19",135
"North West","Public Health","2021-09-01",4672
"Gauteng","Public Health","2021-10-21",4709
"Eastern Cape","Public Health","2021-07-12",682
"Limpopo","Public Health","2021-06-22",1
"North West","Public Health","2021-08-21",3447
"Northern Cape","Private Health","2021-07-26",64
"KwaZulu-Natal","Public Health","2021-03-15",36
"Mpumalanga","Public Health","2021-08-17",2511
"Limpopo","Public Health","2021-07-03",2
"Northern Cape","Public Health","2021-11-17",980
"Mpumalanga","Public Health","2021-10-30",2081
"Gauteng","Public Health","2021-04-13",409
"North West","Private Health","2021-11-13",52
"KwaZulu-Natal","Public Health","2021-06-07",6
"Eastern Cape","Public Health","2021-08-08",465
"Mpumalanga","Private Health","2021-10-24",57
"Western Cape","Private Health","2021-03-12",776
"Free State","Public Health","2021-08-02",1339
"Mpumalanga","Public Health","2021-06-14",1
"Mpumalanga","Public Health","2021-08-30",4002
"Limpopo","Private Health","2021-11-29",901
"North West","Public Health","2021-02-28",368
"Free State","Private Health","2021-08-09",2
"Free State","Public Health","2021-03-10",854
"Mpumalanga","Public Health","2021-03-04",552
"Western Cape","Private Health","2021-08-04",143
"Western Cape","Public Health","2021-12-01",3163
"Mpumalanga","Private Health","2021-03-30",152
"Western Cape","Private Health","2021-12-09",695
"Western Cape","Public Health","2021-06-11",26
"Free State","Private Health","2021-10-12",363
"Western Cape","Public Health","2021-12-05",906
"North West","Public Health","2021-06-16",1
"KwaZulu-Natal","Private Health","2021-08-25",1049
"Gauteng","Public Health","2021-02-23",2056
"Limpopo","Private Health","2021-08-04",48
"Mpumalanga","Public Health","2021-08-07",1375
"KwaZulu-Natal","Public Health","2021-07-02",2676
"Gauteng","Public Health","2021-10-08",4372
"Northern Cape","Public Health","2021-05-17",1
"Eastern Cape","Private Health","2021-07-26",1167
"Limpopo","Public Health","2021-08-23",8320
"Eastern Cape","Public Health","2021-07-27",10836
"Gauteng","Private Health","2021-03-12",22
"Eastern Cape","Public Health","2021-12-13",2179
"KwaZulu-Natal","Public Health","2021-11-10",4583
"Mpumalanga","Public Health","2021-07-27",1270
"Free State","Private Health","2021-03-04",127
"Northern Cape","Private Health","2021-08-28",14
"North West","Private Health","2021-08-19",597
"Limpopo","Private Health","2021-08-02",1
"Mpumalanga","Private Health","2021-10-11",670
"Northern Cape","Private Health","2021-10-21",392
"Mpumalanga","Private Health","2021-06-07",16
"Limpopo","Private Health","2021-11-23",462
"Gauteng","Private Health","2021-10-08",2495
"Free State","Private Health","2021-10-06",313
"Eastern Cape","Public Health","2021-05-23",1
"Western Cape","Private Health","2021-06-30",6
"Northern Cape","Public Health","2021-05-12",486
"Eastern Cape","Public Health","2021-05-28",129
"Gauteng","Public Health","2021-06-30",8531
"KwaZulu-Natal","Private Health","2021-09-23",490
"KwaZulu-Natal","Public Health","2021-06-20",1
"Eastern Cape","Private Health","2021-04-13",100
"Limpopo","Public Health","2021-11-08",3965
"Western Cape","Private Health","2021-02-26",3
"Free State","Public Health","2021-11-05",2625
"Limpopo","Private Health","2021-06-25",28
"Mpumalanga","Public Health","2021-11-01",4202
"KwaZulu-Natal","Public Health","2021-10-28",4989
"North West","Public Health","2021-03-25",731
"Eastern Cape","Public Health","2021-03-20",1
"Western Cape","Private Health","2021-12-08",558
"Gauteng","Private Health","2021-08-25",4653
"Northern Cape","Private Health","2021-11-19",250
"Northern Cape","Public Health","2021-11-11",929
"Gauteng","Public Health","2021-05-11",2568
"Free State","Private Health","2021-07-19",30
"Limpopo","Private Health","2021-08-23",1400
"Limpopo","Public Health","2021-03-09",453
"Free State","Public Health","2021-06-26",6
"Limpopo","Public Health","2021-07-29",8304
"Western Cape","Public Health","2021-04-30",1594
"Mpumalanga","Public Health","2021-03-21",5
"Limpopo","Private Health","2021-02-22",3
"Mpumalanga","Public Health","2021-04-09",120
"Northern Cape","Private Health","2021-08-13",5
"Eastern Cape","Private Health","2021-11-19",418
"Northern Cape","Private Health","2021-09-28",55
"KwaZulu-Natal","Public Health","2021-06-09",13
"Northern Cape","Public Health","2021-12-01",1092
"Eastern Cape","Private Health","2021-12-04",186
"Western Cape","Public Health","2021-05-03",1659
"Northern Cape","Public Health","2021-08-31",983
"Gauteng","Public Health","2021-07-19",3465
"Northern Cape","Public Health","2021-09-24",135
"Limpopo","Public Health","2021-11-04",6157
"Western Cape","Public Health","2021-07-02",3336
"Limpopo","Public Health","2021-09-05",18
"KwaZulu-Natal","Private Health","2021-10-08",204
"Gauteng","Private Health","2021-08-16",1509
"KwaZulu-Natal","Public Health","2021-10-31",2667
"Northern Cape","Private Health","2021-03-11",79
"Gauteng","Public Health","2021-11-23",4156
"Gauteng","Private Health","2021-11-18",1125
"Western Cape","Public Health","2021-05-25",28
"KwaZulu-Natal","Private Health","2021-03-10",720
"Mpumalanga","Public Health","2021-07-12",351
"KwaZulu-Natal","Public Health","2021-08-16",8183
"Gauteng","Private Health","2021-10-19",3289
"Western Cape","Private Health","2021-10-29",543
"Free State","Public Health","2021-10-21",5688
"Gauteng","Private Health","2021-08-18",1686
"Limpopo","Private Health","2021-08-29",4
"Gauteng","Private Health","2021-03-14",1
"KwaZulu-Natal","Public Health","2021-03-05",1230
"Gauteng","Public Health","2021-06-05",13
"Eastern Cape","Public Health","2021-09-25",775
"North West","Public Health","2021-10-13",6323
"Northern Cape","Public Health","2021-12-06",936
"Northern Cape","Public Health","2021-06-23",683
"Northern Cape","Private Health","2021-11-29",184
"North West","Public Health","2021-09-23",5290
"KwaZulu-Natal","Private Health","2021-05-06",1732
"Limpopo","Public Health","2021-09-27",7699
"Mpumalanga","Public Health","2021-07-25",165
"North West","Private Health","2021-11-25",117
"Gauteng","Public Health","2021-08-10",10594
"Limpopo","Public Health","2021-07-10",92
"Northern Cape","Public Health","2021-07-18",1101
"Northern Cape","Public Health","2021-09-17",1418
"Western Cape","Public Health","2021-11-30",3116
"Gauteng","Public Health","2021-08-25",6945
"Northern Cape","Private Health","2021-10-06",131
"Eastern Cape","Private Health","2021-03-25",353
"KwaZulu-Natal","Public Health","2021-02-18",378
"Western Cape","Private Health","2021-03-16",664
"Gauteng","Public Health","2021-07-01",7324
"Western Cape","Public Health","2021-02-26",1635
"Western Cape","Private Health","2021-12-14",303
"Eastern Cape","Public Health","2021-11-24",4449
"Eastern Cape","Public Health","2021-11-29",5458
"Western Cape","Private Health","2021-04-29",561
"Free State","Private Health","2021-10-08",337
"Mpumalanga","Public Health","2021-03-08",139
"Gauteng","Public Health","2021-12-03",4936
"Western Cape","Private Health","2021-09-18",141
"Western Cape","Public Health","2021-09-25",131
"Gauteng","Private Health","2021-03-24",2310
"Gauteng","Public Health","2021-03-19",1004
"Gauteng","Private Health","2021-02-22",146
"Eastern Cape","Public Health","2021-10-01",6216
"Mpumalanga","Public Health","2021-04-12",118
"KwaZulu-Natal","Private Health","2021-03-05",597
"Limpopo","Private Health","2021-09-04",177
"Northern Cape","Public Health","2021-03-04",102
"Free State","Private Health","2021-07-29",181
"Mpumalanga","Public Health","2021-10-27",5966
"KwaZulu-Natal","Public Health","2021-07-31",1584
"Free State","Public Health","2021-06-24",3797
"KwaZulu-Natal","Public Health","2021-03-26",863
"Northern Cape","Public Health","2021-07-03",10
"Mpumalanga","Public Health","2021-03-10",290
"Western Cape","Public Health","2021-07-22",4490
"Mpumalanga","Public Health","2021-11-27",928
"Gauteng","Private Health","2021-11-21",56
"Eastern Cape","Private Health","2021-11-15",389
"Western Cape","Private Health","2021-10-18",960
"North West","Private Health","2021-11-24",133
"Western Cape","Public Health","2021-08-23",5652
"KwaZulu-Natal","Private Health","2021-12-08",193
"Gauteng","Private Health","2021-08-23",3602
"Limpopo","Private Health","2021-12-14",392
"North West","Private Health","2021-11-28",5
"Western Cape","Public Health","2021-12-04",2062
"Limpopo","Public Health","2021-12-05",795
"Western Cape","Public Health","2021-09-29",1600
"Free State","Public Health","2021-03-09",841
"KwaZulu-Natal","Private Health","2021-09-28",226
"Eastern Cape","Public Health","2021-03-25",1242
"KwaZulu-Natal","Private Health","2021-05-04",1659
"Western Cape","Public Health","2021-08-25",6682
"Northern Cape","Public Health","2021-05-01",42
"Eastern Cape","Public Health","2021-07-20",6487
"Limpopo","Public Health","2021-08-05",9578
"Free State","Public Health","2021-09-24",514
"Mpumalanga","Private Health","2021-06-30",2
"Free State","Public Health","2021-06-17",4
"Northern Cape","Private Health","2021-10-14",365
"North West","Private Health","2021-09-16",698
"Gauteng","Private Health","2021-02-17",12
"Eastern Cape","Public Health","2021-09-16",4017
"Eastern Cape","Public Health","2021-11-16",5339
"North West","Public Health","2021-06-13",2
"Mpumalanga","Public Health","2021-07-24",14
"Limpopo","Private Health","2021-02-21",8
"Gauteng","Public Health","2021-04-04",1
"Free State","Public Health","2021-09-29",4262
"Limpopo","Public Health","2021-05-14",1299
"Eastern Cape","Private Health","2021-04-30",121
"Gauteng","Public Health","2021-12-15",3748
"North West","Private Health","2021-09-29",308
"KwaZulu-Natal","Private Health","2021-11-23",58
"Limpopo","Public Health","2021-07-17",810
"Limpopo","Private Health","2021-07-26",34
"Western Cape","Private Health","2021-03-29",490
"Limpopo","Private Health","2021-11-14",44
"Northern Cape","Public Health","2021-09-22",928
"Limpopo","Private Health","2021-11-21",9
"Western Cape","Private Health","2021-08-07",1
"North West","Private Health","2021-08-06",126
"Eastern Cape","Public Health","2021-08-07",805
"Free State","Public Health","2021-12-14",1755
"Gauteng","Private Health","2021-08-07",474
"Limpopo","Public Health","2021-10-11",9178
"Limpopo","Public Health","2021-11-23",2800
"Gauteng","Public Health","2021-09-13",4431
"Western Cape","Public Health","2021-11-11",3328
"Mpumalanga","Private Health","2021-12-07",306
"Gauteng","Private Health","2021-10-23",1066
"Western Cape","Private Health","2021-07-17",6
"Eastern Cape","Private Health","2021-04-12",300
